PRODUCT_ID,Threshold,Qty_Available,Stock_Location
200101,115,170,WR Block A North
200102,108,99,WR Block A South
200103,151,402,WR Block A East
200104,170,147,WR Block A West
200201,107,105,WR Block B North
200202,179,366,WR Block B South
200203,167,365,WR Block B East
200204,138,343,WR Block B West
200301,176,500,WR Block C North
200302,198,219,WR Block C South
200303,108,321,WR Block C East
200304,134,460,WR Block C West
200401,127,239,WR Block D North
200402,146,367,WR Block D South
200403,152,213,WR Block D East
200404,199,484,WR Block D West
200501,133,80,WR Block E North
200502,181,381,WR Block E South
200503,103,147,WR Block E East
200504,167,220,WR Block E West
200601,147,188,WR Block A North
200602,173,168,WR Block A South
200603,169,74,WR Block A East
200604,168,416,WR Block A West
200701,160,221,WR Block B North
200702,152,440,WR Block B South
200703,107,201,WR Block B East
200704,160,224,WR Block B West
200801,105,475,WR Block C North
200802,180,232,WR Block C South
200803,178,119,WR Block C East
200804,120,328,WR Block C West
200901,155,308,WR Block D North
200902,134,448,WR Block D South
200903,110,498,WR Block D East
200904,174,344,WR Block D West
201001,118,378,WR Block E North
201002,121,208,WR Block E South
201003,200,444,WR Block E East
201004,125,323,WR Block E West